OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
0.001282,-0.004623,-0.125290,-0.004440,0.001236
0.025909,0.006134,-0.107391,-0.011993,0.007462
0.101257,-0.003754,-0.083862,-0.000320,0.003983
0.116455,-0.006134,0.025955,0.005539,-0.000046
0.075943,-0.006821,0.103226,0.003799,0.007828
0.016937,0.001694,0.043991,-0.000504,0.005264
-0.022614,-0.006638,0.044403,0.003983,0.003799
-0.041107,0.006683,-0.049942,0.001831,0.000183
-0.028656,-0.002609,-0.237259,0.002151,0.001419
-0.040466,-0.004074,-0.309494,-0.001328,-0.000046
-0.079880,0.000320,-0.129684,0.002335,-0.001740
-0.096634,-0.010666,0.019547,-0.002609,0.003525
-0.113297,-0.005814,0.075531,0.005676,0.006134
-0.093430,-0.001190,0.088120,0.000320,0.007736
-0.055893,0.011124,0.101532,0.001511,0.006134
-0.026093,0.005127,0.123917,-0.000549,0.003799
-0.055389,0.009659,0.034927,0.003159,0.003983
-0.041565,0.007187,-0.091599,-0.000412,0.005630
-0.039276,0.010941,-0.108078,0.005585,0.009109
0.046326,0.007095,-0.077042,0.001419,0.009201
0.210251,-0.000137,-0.045273,0.005997,0.008926
0.326752,-0.002060,-0.024582,-0.000961,0.009064
0.307480,-0.007324,-0.058640,0.006180,0.010208
0.139023,-0.012131,0.010941,-0.000824,0.007690
-0.053467,-0.021378,0.118652,0.004028,0.006134
-0.127441,-0.027145,0.203384,-0.003616,0.007599
-0.117737,-0.034836,0.233002,-0.004166,0.005219
-0.075165,-0.034561,0.219955,-0.002975,0.009109
-0.078781,-0.038361,0.117508,-0.001373,0.007187
-0.040283,-0.022568,-0.045822,0.002563,0.009659
0.013596,-0.024490,-0.245407,0.005585,0.010117
0.058731,-0.001968,-0.288895,0.003250,0.009476
0.103638,0.003937,-0.110001,0.002701,0.005997
0.054382,0.006546,0.112015,0.002289,-0.001007
-0.047241,0.002975,0.179581,-0.001328,-0.003525
-0.097961,-0.002792,0.052231,-0.000916,0.001877
-0.143921,0.013870,0.014511,-0.004761,-0.003983
-0.131607,0.016937,-0.108673,-0.000870,-0.000870
-0.000641,0.010574,-0.206818,-0.002930,0.000732
0.154907,0.000961,-0.163010,0.003937,0.004623
0.245132,-0.002197,-0.028793,-0.005585,0.009109
0.249023,-0.011765,0.073746,0.004395,0.009109
